Year,GeoTypeName,Borough,Geography,Geography ID,Indicator Name,10th Percentile (ppb),90th Percentile (ppb),Mean (ppb),Note 1,Note 2,Note 3
2015,Neighborhood (UHF 34),Brooklyn, East New York,204,Nitric Oxide (NO),15.7,21.6,18.2,,,
2016,Neighborhood (UHF 34),Brooklyn, East New York,204,Nitric Oxide (NO),12.8,17.2,14.8,,,
2017,Neighborhood (UHF 34),Brooklyn, East New York,204,Nitric Oxide (NO),12.2,14.7,13.4,,,
2018,Neighborhood (UHF 34),Brooklyn, East New York,204,Nitric Oxide (NO),9.4,12.8,11,,,
2010,Neighborhood (UHF 34),Queens, Flushing - Clearview,403,Nitric Oxide (NO),19.8,27.6,22.9,,,
2011,Neighborhood (UHF 34),Queens, Flushing - Clearview,403,Nitric Oxide (NO),14.7,22.1,17.6,,,
2012,Neighborhood (UHF 34),Queens, Flushing - Clearview,403,Nitric Oxide (NO),13,20.1,15.9,,,
2013,Neighborhood (UHF 34),Queens, Flushing - Clearview,403,Nitric Oxide (NO),15.3,22.7,18.1,,,
2014,Neighborhood (UHF 34),Queens, Flushing - Clearview,403,Nitric Oxide (NO),14.5,21.1,17.1,,,
2015,Neighborhood (UHF 34),Queens, Flushing - Clearview,403,Nitric Oxide (NO),13.3,17.9,15.1,,,
2016,Neighborhood (UHF 34),Queens, Flushing - Clearview,403,Nitric Oxide (NO),10.9,14.6,12.3,,,
2017,Neighborhood (UHF 34),Queens, Flushing - Clearview,403,Nitric Oxide (NO),9.6,12.8,10.8,,,
2018,Neighborhood (UHF 34),Queens, Flushing - Clearview,403,Nitric Oxide (NO),9.7,14.7,11.4,,,
2010,Neighborhood (UHF 34),Bronx, Fordham - Bronx Pk,103,Nitric Oxide (NO),19.2,32,25.4,,,
2011,Neighborhood (UHF 34),Bronx, Fordham - Bronx Pk,103,Nitric Oxide (NO),14.8,26.4,20.6,,,
2012,Neighborhood (UHF 34),Bronx, Fordham - Bronx Pk,103,Nitric Oxide (NO),13.1,23.8,18.4,,,
2013,Neighborhood (UHF 34),Bronx, Fordham - Bronx Pk,103,Nitric Oxide (NO),16.3,26.5,21.3,,,
2014,Neighborhood (UHF 34),Bronx, Fordham - Bronx Pk,103,Nitric Oxide (NO),13.7,22.5,18.1,,,
2015,Neighborhood (UHF 34),Bronx, Fordham - Bronx Pk,103,Nitric Oxide (NO),12.6,17.3,14.9,,,
2016,Neighborhood (UHF 34),Bronx, Fordham - Bronx Pk,103,Nitric Oxide (NO),11.4,15.6,13.5,,,
2017,Neighborhood (UHF 34),Bronx, Fordham - Bronx Pk,103,Nitric Oxide (NO),10.8,15.4,13,,,
2018,Neighborhood (UHF 34),Bronx, Fordham - Bronx Pk,103,Nitric Oxide (NO),9.3,12.6,10.9,,,
2010,Neighborhood (UHF 34),Brooklyn, Greenpoint,201,Nitric Oxide (NO),22.6,33.1,27.5,,,
2011,Neighborhood (UHF 34),Brooklyn, Greenpoint,201,Nitric Oxide (NO),17,26.9,21.5,,,
2012,Neighborhood (UHF 34),Brooklyn, Greenpoint,201,Nitric Oxide (NO),14.8,24.4,18.9,,,
2013,Neighborhood (UHF 34),Brooklyn, Greenpoint,201,Nitric Oxide (NO),20.9,30.5,25,,,
2014,Neighborhood (UHF 34),Brooklyn, Greenpoint,201,Nitric Oxide (NO),16.8,26.3,20.9,,,
2015,Neighborhood (UHF 34),Brooklyn, Greenpoint,201,Nitric Oxide (NO),16.4,26.4,20.4,,,
2016,Neighborhood (UHF 34),Brooklyn, Greenpoint,201,Nitric Oxide (NO),14.2,22.7,17.6,,,
2017,Neighborhood (UHF 34),Brooklyn, Greenpoint,201,Nitric Oxide (NO),13.3,21,16.4,,,
2018,Neighborhood (UHF 34),Brooklyn, Greenpoint,201,Nitric Oxide (NO),12.8,28.6,19.1,,,
2010,Neighborhood (UHF 34),Queens, Jamaica,408,Nitric Oxide (NO),21.5,27.1,23.8,,,
2011,Neighborhood (UHF 34),Queens, Jamaica,408,Nitric Oxide (NO),16.4,21.7,18.6,,,
2012,Neighborhood (UHF 34),Queens, Jamaica,408,Nitric Oxide (NO),14.7,19.9,16.9,,,
2013,Neighborhood (UHF 34),Queens, Jamaica,408,Nitric Oxide (NO),16.3,22,18.5,,,
2014,Neighborhood (UHF 34),Queens, Jamaica,408,Nitric Oxide (NO),15.9,20.8,17.9,,,
2015,Neighborhood (UHF 34),Queens, Jamaica,408,Nitric Oxide (NO),14.3,17.8,15.8,,,
2016,Neighborhood (UHF 34),Queens, Jamaica,408,Nitric Oxide (NO),10.9,13.7,12.1,,,
2017,Neighborhood (UHF 34),Queens, Jamaica,408,Nitric Oxide (NO),9.8,12.4,10.8,,,
2018,Neighborhood (UHF 34),Queens, Jamaica,408,Nitric Oxide (NO),9.6,12.1,10.6,,,
2010,Neighborhood (UHF 34),Bronx, Kingsbridge - Riverdale,101,Nitric Oxide (NO),16.7,29.4,21.6,,,
2011,Neighborhood (UHF 34),Bronx, Kingsbridge - Riverdale,101,Nitric Oxide (NO),12.6,24.7,17.2,,,
2012,Neighborhood (UHF 34),Bronx, Kingsbridge - Riverdale,101,Nitric Oxide (NO),10.8,22.4,15.2,,,
2013,Neighborhood (UHF 34),Bronx, Kingsbridge - Riverdale,101,Nitric Oxide (NO),14.7,25.6,18.7,,,
2014,Neighborhood (UHF 34),Bronx, Kingsbridge - Riverdale,101,Nitric Oxide (NO),11.3,22,15.1,,,
2015,Neighborhood (UHF 34),Bronx, Kingsbridge - Riverdale,101,Nitric Oxide (NO),11.3,17.2,13.2,,,
2016,Neighborhood (UHF 34),Bronx, Kingsbridge - Riverdale,101,Nitric Oxide (NO),10.5,15.4,12.1,,,
2017,Neighborhood (UHF 34),Bronx, Kingsbridge - Riverdale,101,Nitric Oxide (NO),10.5,14.9,12.1,,,
2018,Neighborhood (UHF 34),Bronx, Kingsbridge - Riverdale,101,Nitric Oxide (NO),8.8,12.5,10,,,
2010,Neighborhood (UHF 34),Queens, Long Island City - Astoria,401,Nitric Oxide (NO),22,30.4,26.1,,,
2011,Neighborhood (UHF 34),Queens, Long Island City - Astoria,401,Nitric Oxide (NO),16.7,24.1,20.4,,,
2012,Neighborhood (UHF 34),Queens, Long Island City - Astoria,401,Nitric Oxide (NO),14.6,21.5,18,,,
2013,Neighborhood (UHF 34),Queens, Long Island City - Astoria,401,Nitric Oxide (NO),19.9,26.9,23.4,,,
2014,Neighborhood (UHF 34),Queens, Long Island City - Astoria,401,Nitric Oxide (NO),16.1,22.1,19.1,,,
2015,Neighborhood (UHF 34),Queens, Long Island City - Astoria,401,Nitric Oxide (NO),14.3,19.1,16.7,,,
2016,Neighborhood (UHF 34),Queens, Long Island City - Astoria,401,Nitric Oxide (NO),12.3,16.4,14.4,,,
2017,Neighborhood (UHF 34),Queens, Long Island City - Astoria,401,Nitric Oxide (NO),11.2,14.7,13,,,
2018,Neighborhood (UHF 34),Queens, Long Island City - Astoria,401,Nitric Oxide (NO),11,24.8,15.4,,,
2010,Neighborhood (UHF 34),Bronx, Northeast Bronx,102,Nitric Oxide (NO),18.1,25.9,21.3,,,
2011,Neighborhood (UHF 34),Bronx, Northeast Bronx,102,Nitric Oxide (NO),13.8,21.6,17,,,
2012,Neighborhood (UHF 34),Bronx, Northeast Bronx,102,Nitric Oxide (NO),12.3,20.2,15.5,,,
2013,Neighborhood (UHF 34),Bronx, Northeast Bronx,102,Nitric Oxide (NO),14.9,22.5,18,,,
2014,Neighborhood (UHF 34),Bronx, Northeast Bronx,102,Nitric Oxide (NO),13.7,21.4,16.6,,,
2015,Neighborhood (UHF 34),Bronx, Northeast Bronx,102,Nitric Oxide (NO),12.6,18.4,14.6,,,
2016,Neighborhood (UHF 34),Bronx, Northeast Bronx,102,Nitric Oxide (NO),11.3,15.8,12.9,,,
2017,Neighborhood (UHF 34),Bronx, Northeast Bronx,102,Nitric Oxide (NO),10.1,12.4,11.1,,,
2018,Neighborhood (UHF 34),Bronx, Northeast Bronx,102,Nitric Oxide (NO),9.4,11.7,10.3,,,
2010,Neighborhood (UHF 34),Staten Island, Northern SI,501502,Nitric Oxide (NO),14.4,20,17,,,
2011,Neighborhood (UHF 34),Staten Island, Northern SI,501502,Nitric Oxide (NO),11.8,16.5,14,,,
2012,Neighborhood (UHF 34),Staten Island, Northern SI,501502,Nitric Oxide (NO),10,14.4,12.1,,,
2013,Neighborhood (UHF 34),Staten Island, Northern SI,501502,Nitric Oxide (NO),12.5,17.7,15,,,
2014,Neighborhood (UHF 34),Staten Island, Northern SI,501502,Nitric Oxide (NO),10.5,15.6,13,,,
2015,Neighborhood (UHF 34),Staten Island, Northern SI,501502,Nitric Oxide (NO),10.6,13.9,12.2,,,
2016,Neighborhood (UHF 34),Staten Island, Northern SI,501502,Nitric Oxide (NO),8.6,11.7,10.1,,,
2017,Neighborhood (UHF 34),Staten Island, Northern SI,501502,Nitric Oxide (NO),7.8,10.4,9,,,
2018,Neighborhood (UHF 34),Staten Island, Northern SI,501502,Nitric Oxide (NO),7.3,8.9,8.2,,,
